  ZR    Vel     logg logTeff  y1(CHEOPS)    
  ZR    Vel     logg logTeff  y2(CHEOPS)  
  0.00  0.000   3.00  3.760    1.0480
  0.00  0.000   3.00  3.760   -0.0033
  0.00  0.000   3.00  3.778    1.0217
  0.00  0.000   3.00  3.778   -0.0054
  0.00  0.000   3.00  3.796    1.0061
  0.00  0.000   3.00  3.796   -0.0073
  0.00  0.000   3.00  3.813    0.9947
  0.00  0.000   3.00  3.813   -0.0088
  0.00  0.000   3.00  3.829    1.0149
  0.00  0.000   3.00  3.829   -0.0174
  0.00  0.000   3.00  3.845    1.0512
  0.00  0.000   3.00  3.845   -0.0244
  0.00  0.000   3.00  3.860    1.0423
  0.00  0.000   3.00  3.860   -0.0284
  0.00  0.000   3.00  3.875    0.9857
  0.00  0.000   3.00  3.875   -0.0253
  0.00  0.000   3.00  3.889    0.8897
  0.00  0.000   3.00  3.889   -0.0177
  0.00  0.000   3.00  3.903    0.7957
  0.00  0.000   3.00  3.903   -0.0104
  0.00  0.000   3.00  3.916    0.7290
  0.00  0.000   3.00  3.916   -0.0069
  0.00  0.000   3.00  3.929    0.6701
  0.00  0.000   3.00  3.929   -0.0046
  0.00  0.000   3.00  3.942    0.6206
  0.00  0.000   3.00  3.942   -0.0028
  0.00  0.000   3.00  3.954    0.5858
  0.00  0.000   3.00  3.954   -0.0020
  0.00  0.000   3.00  3.966    0.5603
  0.00  0.000   3.00  3.966   -0.0016
  0.00  0.000   3.00  3.978    0.5404
  0.00  0.000   3.00  3.978   -0.0015
  0.00  0.000   3.00  3.989    0.5253
  0.00  0.000   3.00  3.989   -0.0016
  0.00  0.000   3.00  4.000    0.5139
  0.00  0.000   3.00  4.000   -0.0018
  0.00  0.000   3.00  4.011    0.5016
  0.00  0.000   3.00  4.011   -0.0020
  0.00  0.000   3.00  4.021    0.4923
  0.00  0.000   3.00  4.021   -0.0023
  0.00  0.000   3.00  4.031    0.4833
  0.00  0.000   3.00  4.031   -0.0025
  0.00  0.000   3.00  4.041    0.4753
  0.00  0.000   3.00  4.041   -0.0027
  0.00  0.000   3.00  4.051    0.4670
  0.00  0.000   3.00  4.051   -0.0029
  0.00  0.000   3.00  4.061    0.4598
  0.00  0.000   3.00  4.061   -0.0030
  0.00  0.000   3.00  4.070    0.4520
  0.00  0.000   3.00  4.070   -0.0032
  0.00  0.000   3.00  4.079    0.4458
  0.00  0.000   3.00  4.079   -0.0033
  0.00  0.000   3.00  4.088    0.4395
  0.00  0.000   3.00  4.088   -0.0035
  0.00  0.000   3.00  4.097    0.4343
  0.00  0.000   3.00  4.097   -0.0037
  0.00  0.000   3.00  4.106    0.4301
  0.00  0.000   3.00  4.106   -0.0040
  0.00  0.000   3.00  4.114    0.4210
  0.00  0.000   3.00  4.114   -0.0044
  0.00  0.000   3.00  4.146    0.4182
  0.00  0.000   3.00  4.146   -0.0067
  0.00  0.000   3.00  4.176    0.4171
  0.00  0.000   3.00  4.176   -0.0100
  0.00  0.000   3.00  4.204    0.4215
  0.00  0.000   3.00  4.204   -0.0142
  0.00  0.000   3.00  4.230    0.4262
  0.00  0.000   3.00  4.230   -0.0189
  0.00  0.000   3.00  4.255    0.4396
  0.00  0.000   3.00  4.255   -0.0247
  0.00  0.000   3.00  4.279    0.4545
  0.00  0.000   3.00  4.279   -0.0289
  0.00  0.000   3.00  4.301    0.4616
  0.00  0.000   3.00  4.301   -0.0345
  0.00  0.000   3.00  4.322    0.4704
  0.00  0.000   3.00  4.322   -0.0393
  0.00  0.000   3.00  4.342    0.4779
  0.00  0.000   3.00  4.342   -0.0436
  0.00  0.000   3.00  4.362    0.4890
  0.00  0.000   3.00  4.362   -0.0476
  0.00  0.000   3.00  4.380    0.5104
  0.00  0.000   3.00  4.380   -0.0539
  0.00  0.000   3.00  4.398    0.5340
  0.00  0.000   3.00  4.398   -0.0638
  0.00  0.000   3.00  4.415    0.5529
  0.00  0.000   3.00  4.415   -0.0733
  0.00  0.000   3.50  3.544    2.3071
  0.00  0.000   3.50  3.544    0.0893
  0.00  0.000   3.50  3.574    2.1293
  0.00  0.000   3.50  3.574    0.0055
  0.00  0.000   3.50  3.602    1.8622
  0.00  0.000   3.50  3.602   -0.0114
  0.00  0.000   3.50  3.628    1.5719
  0.00  0.000   3.50  3.628   -0.0050
  0.00  0.000   3.50  3.653    1.4009
  0.00  0.000   3.50  3.653   -0.0021
  0.00  0.000   3.50  3.677    1.2897
  0.00  0.000   3.50  3.677   -0.0006
  0.00  0.000   3.50  3.699    1.2018
  0.00  0.000   3.50  3.699    0.0002
  0.00  0.000   3.50  3.720    1.1313
  0.00  0.000   3.50  3.720    0.0004
  0.00  0.000   3.50  3.740    1.0762
  0.00  0.000   3.50  3.740    0.0000
  0.00  0.000   3.50  3.760    1.0342
  0.00  0.000   3.50  3.760   -0.0016
  0.00  0.000   3.50  3.778    1.0073
  0.00  0.000   3.50  3.778   -0.0035
  0.00  0.000   3.50  3.796    0.9927
  0.00  0.000   3.50  3.796   -0.0054
  0.00  0.000   3.50  3.813    0.9812
  0.00  0.000   3.50  3.813   -0.0077
  0.00  0.000   3.50  3.829    0.9717
  0.00  0.000   3.50  3.829   -0.0100
  0.00  0.000   3.50  3.845    0.9712
  0.00  0.000   3.50  3.845   -0.0159
  0.00  0.000   3.50  3.860    1.0012
  0.00  0.000   3.50  3.860   -0.0231
  0.00  0.000   3.50  3.875    1.0107
  0.00  0.000   3.50  3.875   -0.0286
  0.00  0.000   3.50  3.889    0.9609
  0.00  0.000   3.50  3.889   -0.0278
  0.00  0.000   3.50  3.903    0.8670
  0.00  0.000   3.50  3.903   -0.0203
  0.00  0.000   3.50  3.916    0.7637
  0.00  0.000   3.50  3.916   -0.0125
  0.00  0.000   3.50  3.929    0.6936
  0.00  0.000   3.50  3.929   -0.0082
  0.00  0.000   3.50  3.942    0.6365
  0.00  0.000   3.50  3.942   -0.0056
  0.00  0.000   3.50  3.954    0.5930
  0.00  0.000   3.50  3.954   -0.0042
