  logg    Teff     ZR    y1(CHEOPS)    
  logg    Teff     ZR    y2(CHEOPS)    
  4.00    4100.   0.0000   1.7276
  4.00    4100.   0.0000  -0.0136
  4.00    4200.   0.0000   1.6500
  4.00    4200.   0.0000  -0.0138
  4.00    4300.   0.0000   1.6069
  4.00    4300.   0.0000  -0.0118
  4.00    4400.   0.0000   1.5590
  4.00    4400.   0.0000  -0.0092
  4.00    4500.   0.0000   1.5000
  4.00    4500.   0.0000  -0.0075
  4.00    4600.   0.0000   1.4562
  4.00    4600.   0.0000  -0.0068
  4.00    4700.   0.0000   1.4067
  4.00    4700.   0.0000  -0.0064
  4.00    4800.   0.0000   1.3657
  4.00    4800.   0.0000  -0.0064
  4.00    4900.   0.0000   1.2656
  4.00    4900.   0.0000  -0.0036
  4.00    5100.   0.0000   1.2434
  4.00    5100.   0.0000  -0.0049
  4.00    5200.   0.0000   1.2631
  4.00    5200.   0.0000  -0.0043
  4.00    5300.   0.0000   1.2150
  4.00    5300.   0.0000  -0.0031
  4.00    5400.   0.0000   1.2004
  4.00    5400.   0.0000  -0.0029
  4.00    5500.   0.0000   1.1915
  4.00    5500.   0.0000  -0.0068
  4.00    5600.   0.0000   1.1564
  4.00    5600.   0.0000  -0.0054
  4.00    5700.   0.0000   1.1333
  4.00    5700.   0.0000  -0.0049
  4.00    5800.   0.0000   1.1289
  4.00    5800.   0.0000  -0.0057
  4.00    5900.   0.0000   1.1157
  4.00    5900.   0.0000  -0.0150
  4.00    6000.   0.0000   1.0537
  4.00    6000.   0.0000  -0.0110
  4.00    6100.   0.0000   1.0533
  4.00    6100.   0.0000  -0.0128
  4.00    6200.   0.0000   1.1258
  4.00    6200.   0.0000  -0.0146
  4.00    6300.   0.0000   1.0888
  4.00    6300.   0.0000  -0.0174
  4.00    6400.   0.0000   1.0465
  4.00    6400.   0.0000  -0.0152
  4.00    6500.   0.0000   1.0431
  4.00    6500.   0.0000  -0.0192
  4.00    6600.   0.0000   1.0101
  4.00    6600.   0.0000  -0.0165
  4.00    6700.   0.0000   0.9951
  4.00    6700.   0.0000  -0.0191
  4.00    6800.   0.0000   0.9919
  4.00    6800.   0.0000  -0.0212
  4.00    6900.   0.0000   0.9795
  4.00    6900.   0.0000  -0.0167
  4.00    7000.   0.0000   0.9950
  4.00    7000.   0.0000  -0.0191
  4.00    7200.   0.0000   0.9648
  4.00    7200.   0.0000  -0.0222
  4.00    7400.   0.0000   0.8141
  4.00    7400.   0.0000  -0.0303
  4.00    7600.   0.0000   0.8978
  4.00    7600.   0.0000  -0.0227
